;// 무기  , 아이템,ID의, 수정 ,,, 추가, 삭제, 발생시, 클라이언트,팀에,알려,주세요,적용안,할경우,,크래쉬,To ,클라이언트팀,CSWeaponID ,,,, 정의 코드의, 주석 참고 해, 작업해 주세요.
5354,#CSO2_ITEM_NAME_tomahawkss_black,#CSO2_ITEM_DESC_tomahawkss_black,tomahawkss,black,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,SS_GRADE_WEAPON_GROUP,100,0,,,EXPUP(100) | ZZ_EXECUTION,0
5355,#CSO2_ITEM_NAME_scarH_athena,#CSO2_ITEM_DESC_scarH_athena,scarh,athena,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5356,#CSO2_ITEM_NAME_deserteagle_athena,#CSO2_ITEM_DESC_DESERTEAGLE_athena,deserteagle,athena,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5357,#CSO2_ITEM_NAME_MP7_miu,#CSO2_ITEM_DESC_MP7_miu,mp7,miu,item,weapon,smg,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5358,#CSO2_ITEM_NAME_p228_miu,#CSO2_ITEM_DESC_P228_miu,p228,miu,item,weapon,pistol,1,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5359,#CSO2_ITEM_NAME_akm_gamania01,#CSO2_ITEM_DESC_akm_gamania01,akm,gamania01,item,weapon,rifle,0,2,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5360,#CSO2_ITEM_NAME_elites_neon1,#CSO2_ITEM_DESC_elites_neon1,elites,neon1,item,weapon,pistol,1,2,0,0,0,3,5,0,0,0,none,none,0,0,,,,0
5361,#CSO2_ITEM_NAME_kr4yeargrenade,#CSO2_ITEM_DESC_kr4yeargrenade,hegrenade,kr4yeargrenade,item,weapon,equip,3,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5362,#CSO2_ITEM_NAME_knife_dione,#CSO2_ITEM_DESC_knife_dione,default_knife,dione,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5363,#CSO2_ITEM_NAME_m60steam_prototype,#CSO2_ITEM_DESC_m60steam_prototype,m60steam,prototype,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,0,5,0,0,0,none,SS_GRADE_WEAPON_GROUP,100,0,,,"EXPUP(100) | WEAPONDROPOFF | ZZ_HEATUP(3,3,5)",0
5364,#CSO2_ITEM_NAME_lr300_eagle,#CSO2_ITEM_DESC_lr300_eagle,lr300,eagle,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5365,#CSO2_ITEM_NAME_knife_2018dog,#CSO2_ITEM_DESC_KNIFE_2018dog,default_knife,2018dog,item,weapon,knife,2,0,0,0,0,0,5,0,0,0,none,none,0,0,,,,0
5366,#CSO2_ITEM_NAME_m27iar_xmas,#CSO2_ITEM_DESC_m27iar_xmas,m27iar,xmas,item,weapon,mach,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5367,#CSO2_ITEM_NAME_ar57_xmas,#CSO2_ITEM_DESC_ar57_xmas,ar57,xmas,item,weapon,smg,0,0,0,0,0,3,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5368,#CSO2_ITEM_NAME_GILBOASNAKE_xmas,#CSO2_ITEM_DESC_GILBOASNAKE_xmas,gilboasnake,xmas,item,weapon,rifle,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5369,#CSO2_ITEM_NAME_galilsniper_xmas,#CSO2_ITEM_DESC_galilsniper_xmas,galilsniper,xmas,item,weapon,snip,0,0,0,0,0,0,5,0,0,0,none,none,0,0,,,STATUE(ICE),0
5370,#CSO2_ITEM_NAME_mk18pulse_proto,#CSO2_ITEM_DESC_mk18pulse_proto,mk18pulse,proto,item,weapon,rifle,0,3,0,0,0,0,5,0,0,0,none,SS_GRADE_WEAPON_GROUP,100,0,,,EXPUP(100) | WEAPONDROPOFF | ZZ_ENERGY_BALL,0
5997,#CSO2_ITEM_NAME_m60_bfg,#CSO2_ITEM_DESC_m60_bfg,m60,bfg,item,weapon,mach,0,0,1|2|3|5|6|8|14|15|17|20|22|24|25|26|27|29|36|37|38|42|44|45|46|48|49|51|53|55|57|58|59|61|63|65,0,0,3,5,0,0,0,none,none,0,0,,,DEATH_MDL_CHG(DDONG) | STATUE(RUBY) | WEAPONDROPOFF | PASSIVE_RELOAD_SP_UP(200) | PASSIVE_HEAL(100),0
8000,#CSO2_ITEM_NAME_GOLD_PIECE,#CSO2_ITEM_DESC_GOLD_PIECE,GOLD_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8001,#CSO2_ITEM_NAME_GOLD_BAR,#CSO2_ITEM_DESC_GOLD_BAR,GOLD_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8002,#CSO2_ITEM_NAME_CHROME_PIECE,#CSO2_ITEM_DESC_CHROME_PIECE,CHROME_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8003,#CSO2_ITEM_NAME_CHROME_BAR,#CSO2_ITEM_DESC_CHROME_BAR,CHROME_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8004,#CSO2_ITEM_NAME_CARBONFIBER,#CSO2_ITEM_DESC_CARBONFIBER,CARBONFIBER,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8005,#CSO2_ITEM_NAME_AMETHYST_PIECE,#CSO2_ITEM_DESC_AMETHYST_PIECE,AMETHYST_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8006,#CSO2_ITEM_NAME_AMETHYST_BAR,#CSO2_ITEM_DESC_AMETHYST_BAR,AMETHYST_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8007,#CSO2_ITEM_NAME_m1903a3_box_1,#CSO2_ITEM_DESC_m1903a3_box_1,m1903a3_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8008,#CSO2_ITEM_NAME_m1903a3_box_2,#CSO2_ITEM_DESC_m1903a3_box_2,m1903a3_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8009,#CSO2_ITEM_NAME_m1903a3_box_3,#CSO2_ITEM_DESC_m1903a3_box_3,m1903a3_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8010,#CSO2_ITEM_NAME_blueprint_m1garand,#CSO2_ITEM_DESC_blueprint_m1garand,blueprint_m1garand,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8011,#CSO2_ITEM_NAME_solocompany1,#CSO2_ITEM_DESC_solocompany1,solocompany1,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8012,#CSO2_ITEM_NAME_solocompany2,#CSO2_ITEM_DESC_solocompany2,solocompany2,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8013,#CSO2_ITEM_NAME_solocompany3,#CSO2_ITEM_DESC_solocompany3,solocompany3,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8014,#CSO2_ITEM_NAME_solocompany4,#CSO2_ITEM_DESC_solocompany4,solocompany4,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8015,#CSO2_ITEM_NAME_solocompany5,#CSO2_ITEM_DESC_solocompany5,solocompany5,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8016,#CSO2_ITEM_NAME_solocompany6,#CSO2_ITEM_DESC_solocompany6,solocompany6,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8017,#CSO2_ITEM_NAME_m1garand_box_1,#CSO2_ITEM_DESC_m1garand_box_1,m1garand_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8018,#CSO2_ITEM_NAME_m1garand_box_2,#CSO2_ITEM_DESC_m1garand_box_2,m1garand_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8019,#CSO2_ITEM_NAME_m1garand_box_3,#CSO2_ITEM_DESC_m1garand_box_3,m1garand_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8020,#CSO2_ITEM_NAME_blueprint_m14ebr,#CSO2_ITEM_DESC_blueprint_m14ebr,blueprint_m14ebr,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8021,#CSO2_ITEM_NAME_SNOW_PIECE,#CSO2_ITEM_DESC_SNOW_PIECE,SNOW_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8022,#CSO2_ITEM_NAME_SNOW_BAR,#CSO2_ITEM_DESC_SNOW_BAR,SNOW_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8023,#CSO2_ITEM_NAME_m14ebr_box_1,#CSO2_ITEM_DESC_m14ebr_box_1,m14ebr_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8024,#CSO2_ITEM_NAME_m14ebr_box_2,#CSO2_ITEM_DESC_m14ebr_box_2,m14ebr_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8025,#CSO2_ITEM_NAME_m14ebr_box_3,#CSO2_ITEM_DESC_m14ebr_box_3,m14ebr_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8026,#CSO2_ITEM_NAME_blueprint_m16a4,#CSO2_ITEM_DESC_blueprint_m16a4,blueprint_m16a4,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8027,#CSO2_ITEM_NAME_CHOCO_PIECE,#CSO2_ITEM_DESC_CHOCO_PIECE,CHOCO_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8028,#CSO2_ITEM_NAME_CHOCO_BAR,#CSO2_ITEM_DESC_CHOCO_BAR,CHOCO_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8029,#CSO2_ITEM_NAME_CANDY_PIECE,#CSO2_ITEM_DESC_CANDY_PIECE,CANDY_PIECE,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8030,#CSO2_ITEM_NAME_CANDY_BAR,#CSO2_ITEM_DESC_CANDY_BAR,CANDY_BAR,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8031,#CSO2_ITEM_NAME_blueprint_kwan,#CSO2_ITEM_DESC_blueprint_kwan,blueprint_kwan,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8032,#CSO2_ITEM_NAME_blueprint_hasan,#CSO2_ITEM_DESC_blueprint_hasan,blueprint_hasan,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8033,#CSO2_ITEM_NAME_blueprint_mg3,#CSO2_ITEM_DESC_blueprint_mg3,blueprint_mg3,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8034,#CSO2_ITEM_NAME_blueprint_trg42,#CSO2_ITEM_DESC_blueprint_trg42,blueprint_trg42,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8035,#CSO2_ITEM_NAME_blueprint_back_wing,#CSO2_ITEM_DESC_blueprint_back_wing,blueprint_back_wing,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8036,#CSO2_ITEM_NAME_blueprint_head_angelring,#CSO2_ITEM_DESC_blueprint_head_angelring,blueprint_head_angelring,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8037,#CSO2_ITEM_NAME_blueprint_pointlottery,#CSO2_ITEM_DESC_blueprint_pointlottery,blueprint_pointlottery,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8038,#CSO2_ITEM_NAME_parts_piece,#CSO2_ITEM_DESC_parts_piece,parts_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8039,#CSO2_ITEM_NAME_parts_box,#CSO2_ITEM_DESC_parts_box,parts_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8040,#CSO2_ITEM_NAME_parts_box01,#CSO2_ITEM_DESC_parts_box01,parts_box01,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8041,#CSO2_ITEM_NAME_m16a4_box_1,#CSO2_ITEM_DESC_m16a4_box_1,m16a4_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8042,#CSO2_ITEM_NAME_m16a4_box_2,#CSO2_ITEM_DESC_m16a4_box_2,m16a4_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8043,#CSO2_ITEM_NAME_m16a4_box_3,#CSO2_ITEM_DESC_m16a4_box_3,m16a4_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8044,#CSO2_ITEM_NAME_blueprint_beowulf,#CSO2_ITEM_DESC_blueprint_beowulf,blueprint_beowulf,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8045,#CSO2_ITEM_NAME_letteritem01,#CSO2_ITEM_DESC_letteritem01,event_letteritem01,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8046,#CSO2_ITEM_NAME_letteritem02,#CSO2_ITEM_DESC_letteritem02,event_letteritem02,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8047,#CSO2_ITEM_NAME_letteritem03,#CSO2_ITEM_DESC_letteritem03,event_letteritem03,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8048,#CSO2_ITEM_NAME_letteritem04,#CSO2_ITEM_DESC_letteritem04,event_letteritem04,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8049,#CSO2_ITEM_NAME_letteritem05,#CSO2_ITEM_DESC_letteritem05,event_letteritem05,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8050,#CSO2_ITEM_NAME_letteritem06,#CSO2_ITEM_DESC_letteritem06,event_letteritem06,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8051,#CSO2_ITEM_NAME_S_partbox,#CSO2_ITEM_DESC_S_partbox,s_partbox,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8052,#CSO2_ITEM_NAME_A_partbox,#CSO2_ITEM_DESC_A_partbox,a_partbox,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8053,#CSO2_ITEM_NAME_B_partbox,#CSO2_ITEM_DESC_B_partbox,b_partbox,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8054,#CSO2_ITEM_NAME_C_partbox,#CSO2_ITEM_DESC_C_partbox,c_partbox,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8055,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER01,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER01,TW_GOLD_EVENT_LETTER01,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8056,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER02,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER02,TW_GOLD_EVENT_LETTER02,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8057,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER03,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER03,TW_GOLD_EVENT_LETTER03,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8058,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER04,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER04,TW_GOLD_EVENT_LETTER04,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8059,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER05,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER05,TW_GOLD_EVENT_LETTER05,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8060,#CSO2_ITEM_NAME_mosinnagant_box_1,#CSO2_ITEM_DESC_mosinnagant_box_1,mosinnagant_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8061,#CSO2_ITEM_NAME_mosinnagant_box_2,#CSO2_ITEM_DESC_mosinnagant_box_2,mosinnagant_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8062,#CSO2_ITEM_NAME_mosinnagant_box_3,#CSO2_ITEM_DESC_mosinnagant_box_3,mosinnagant_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8063,#CSO2_ITEM_NAME_blueprint_svt40,#CSO2_ITEM_DESC_blueprint_svt40,blueprint_svt40,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8064,#CSO2_ITEM_NAME_svt40_box_1,#CSO2_ITEM_DESC_svt40_box_1,svt40_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8065,#CSO2_ITEM_NAME_svt40_box_2,#CSO2_ITEM_DESC_svt40_box_2,svt40_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8066,#CSO2_ITEM_NAME_svt40_box_3,#CSO2_ITEM_DESC_svt40_box_3,svt40_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8067,#CSO2_ITEM_NAME_blueprint_dragunov,#CSO2_ITEM_DESC_blueprint_dragunov,blueprint_dragunov,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8068,#CSO2_ITEM_NAME_svd_box_1,#CSO2_ITEM_DESC_svd_box_1,svd_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8069,#CSO2_ITEM_NAME_svd_box_2,#CSO2_ITEM_DESC_svd_box_2,svd_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8070,#CSO2_ITEM_NAME_svd_box_3,#CSO2_ITEM_DESC_svd_box_3,svd_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8071,#CSO2_ITEM_NAME_blueprint_sv98,#CSO2_ITEM_DESC_blueprint_sv98,blueprint_sv98,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8072,#CSO2_ITEM_NAME_beowulf_box_1,#CSO2_ITEM_DESC_beowulf_box_1,beowulf_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8073,#CSO2_ITEM_NAME_beowulf_box_2,#CSO2_ITEM_DESC_beowulf_box_2,beowulf_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8074,#CSO2_ITEM_NAME_beowulf_box_3,#CSO2_ITEM_DESC_beowulf_box_3,beowulf_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8500,#CSO2_ITEM_NAME_recipeboost_type0,#CSO2_ITEM_DESC_recipeboost_type0,recipeboost_high,default,recipeboostItem,item,item,0,0,0,0,3,1,0,0,0,0,0;50,none,0,0,,,,0
8501,#CSO2_ITEM_NAME_recipeboost_type1,#CSO2_ITEM_DESC_recipeboost_type1,recipeboost_mid,default,recipeboostItem,item,item,0,0,0,0,3,1,0,0,0,0,0;25,none,0,0,,,,0
8502,#CSO2_ITEM_NAME_recipeboost_type2,#CSO2_ITEM_DESC_recipeboost_type2,recipeboost_low,default,recipeboostItem,item,item,0,0,0,0,3,1,0,0,0,0,0;10,none,0,0,,,,0
8503,#CSO2_ITEM_NAME_recipeboost_type3,#CSO2_ITEM_DESC_recipeboost_type3,recipeboost_double,default,recipeboostItem,item,item,0,0,0,0,3,1,0,0,0,0,4;2,none,0,0,,,,0
8504,#CSO2_ITEM_NAME_authentication,#CSO2_ITEM_DESC_authentication,authentication,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8505,#CSO2_ITEM_NAME_lisa02piece1,#CSO2_ITEM_DESC_lisa02piece1,lisa02piece1,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8506,#CSO2_ITEM_NAME_lisa02piece2,#CSO2_ITEM_DESC_lisa02piece2,lisa02piece2,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8507,#CSO2_ITEM_NAME_lisa02piece3,#CSO2_ITEM_DESC_lisa02piece3,lisa02piece3,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8508,#CSO2_ITEM_NAME_lisa02piece4,#CSO2_ITEM_DESC_lisa02piece4,lisa02piece4,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8509,#CSO2_ITEM_NAME_lisa02piece5,#CSO2_ITEM_DESC_lisa02piece5,lisa02piece5,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8510,#CSO2_ITEM_NAME_lisa02blueprint,#CSO2_ITEM_DESC_lisa02blueprint,lisa02blueprint,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8511,#CSO2_ITEM_NAME_maricolor01_piece,#CSO2_ITEM_DESC_maricolor01_piece,maricolor01_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(90000),none,0,0,,,,0
8512,#CSO2_ITEM_NAME_tammycolor01_piece,#CSO2_ITEM_DESC_tammycolor01_piece,tammycolor01_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(90000),none,0,0,,,,0
8515,#CSO2_ITEM_NAME_blueprint_silverwea,#CSO2_ITEM_DESC_blueprint_silverwea,blueprint_silverwea,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8516,#CSO2_ITEM_NAME_silverwea_box,#CSO2_ITEM_DESC_silverwea_box,silverwea_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8517,#CSO2_ITEM_NAME_silverwea_piece,#CSO2_ITEM_DESC_silverwea_piece,silverwea_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8518,#CSO2_ITEM_NAME_TWB_PIECE01,#CSO2_ITEM_DESC_TWB_PIECE01,TWB_PIECE01,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8519,#CSO2_ITEM_NAME_TWB_PIECE02,#CSO2_ITEM_DESC_TWB_PIECE02,TWB_PIECE02,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8520,#CSO2_ITEM_NAME_TWB_PIECE03,#CSO2_ITEM_DESC_TWB_PIECE03,TWB_PIECE03,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8521,#CSO2_ITEM_NAME_TWB_PIECE04,#CSO2_ITEM_DESC_TWB_PIECE04,TWB_PIECE04,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8522,#CSO2_ITEM_NAME_coupon_random_box_03,#CSO2_ITEM_DESC_coupon_random_box_03,coupon_random_box_03,default,item,item,item,0,0,0,0,3,0,0,0,0,0,DAILYREWARD(7508),none,0,0,,,,0
8523,#CSO2_ITEM_NAME_maricolor01_piece,#CSO2_ITEM_DESC_maricolor01_piece,maricolor01_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(90000),none,0,0,,,,0
8524,#CSO2_ITEM_NAME_tammycolor01_piece,#CSO2_ITEM_DESC_tammycolor01_piece,tammycolor01_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(90000),none,0,0,,,,0
8525,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER01,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER01,TW_GOLD_EVENT_LETTER01,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8526,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER02,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER02,TW_GOLD_EVENT_LETTER02,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8527,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER03,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER03,TW_GOLD_EVENT_LETTER03,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8528,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER04,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER04,TW_GOLD_EVENT_LETTER04,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8529,#CSO2_ITEM_NAME_TW_GOLD_EVENT_LETTER05,#CSO2_ITEM_DESC_TW_GOLD_EVENT_LETTER05,TW_GOLD_EVENT_LETTER05,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8530,#CSO2_ITEM_NAME_mila02piece1,#CSO2_ITEM_DESC_mila02piece1,mila02piece1,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(50000),none,0,0,,,,0
8531,#CSO2_ITEM_NAME_mila02blueprint,#CSO2_ITEM_DESC_mila02blueprint,mila02blueprint,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(50000),none,0,0,,,,0
8532,#CSO2_ITEM_NAME_luckybag03_piece,#CSO2_ITEM_DESC_luckybag03_piece,luckybag03_piece,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(5000),none,0,0,,,,0
8533,#CSO2_ITEM_NAME_zombie_essence,#CSO2_ITEM_DESC_zombie_essence,zombie_essence,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8534,#CSO2_ITEM_NAME_phobos_parasite,#CSO2_ITEM_DESC_phobos_parasite,phobos_parasite,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8535,#CSO2_ITEM_NAME_phobos_claw,#CSO2_ITEM_DESC_phobos_claw,phobos_claw,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8536,#CSO2_ITEM_NAME_phobos_wing,#CSO2_ITEM_DESC_phobos_wing,phobos_wing,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8537,#CSO2_ITEM_NAME_phobos_skull,#CSO2_ITEM_DESC_phobos_skull,phobos_skull,default,item,item,item,0,0,0,0,3,1,0,0,0,0,none,none,0,0,,,,0
8538,#CSO2_ITEM_NAME_kenji_box,#CSO2_ITEM_DESC_kenji_box,kenji_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(3000),none,0,0,,,,0
8539,#CSO2_ITEM_NAME_joe_box,#CSO2_ITEM_DESC_joe_box,joe_box,default,item,item,item,0,0,0,0,3,1,0,0,0,0,REFUNDPOINT(3000),none,0,0,,,,0
